"Title:","Unemployment from the Employment and Unemployment - Non-Seasonally Adjusted Database"
"01/2006",564,6464,3796,244,364,2088,2969,20683,4735,18215,3997,22168
"02/2006",519,6821,3772,263,342,2178,2848,20689,5269,18220,4031,22398
"03/2006",551,6433,3525,273,336,2035,2537,19467,4824,17036,3610,21005
"04/2006",472,6037,2999,234,267,1705,2129,18430,4236,16881,3168,19168
"05/2006",458,5999,2838,222,260,1540,1860,18592,4028,17522,2987,19105
"06/2006",506,6425,3143,247,257,1565,1924,19026,4188,19485,2991,20813
"07/2006",456,6753,3107,221,238,1617,2068,20479,4368,19874,3369,22174
"08/2006",421,6279,2919,192,222,1502,2023,19267,4008,18480,3214,20707
"09/2006",417,5995,2973,180,229,1381,1713,16577,3950,18115,2720,20318
"10/2006",401,5394,2586,173,236,1228,1666,15770,3583,15811,2534,18059
"11/2006",433,5543,2886,180,251,1401,1930,16602,3790,16293,2877,18798
"12/2006",382,5357,3106,165,247,1591,1956,16106,3862,15607,2841,19111
"01/2007",527,6577,4110,217,303,2095,2693,19483,4861,18624,3851,23621
"02/2007",476,6377,3950,190,270,2116,2429,18373,4962,17186,3585,22330
"03/2007",487,5683,3683,176,249,1854,2169,16830,4356,15537,3150,20724
"04/2007",437,5417,3340,190,236,1625,1892,16538,4048,14840,2783,19006
"05/2007",437,5475,3009,179,220,1353,1769,16549,3870,16361,2714,19069
"06/2007",507,6087,3279,213,233,1478,1772,16961,4093,18414,2698,20701
"07/2007",455,6468,3236,194,198,1525,1908,19685,4299,18197,3184,21720
"08/2007",367,6071,2834,171,162,1446,1877,18829,4007,16312,3019,19613
"09/2007",369,6062,2912,160,169,1438,1664,17480,4068,16856,2712,19316
"10/2007",364,5860,2616,168,171,1371,1702,17541,4044,15162,2813,17439
"11/2007",360,5952,2707,157,176,1484,1997,18070,4183,15065,3168,17516
"12/2007",331,6361,3052,153,174,1935,2342,19798,4736,15224,3509,19047
"01/2008",554,7312,3941,229,316,2310,3252,23982,5505,17799,4681,22851
"02/2008",492,7282,3815,247,314,2290,3036,23369,5675,16749,4478,22056
"03/2008",458,7077,3797,240,337,2223,2848,23448,5446,16391,4389,21781
"04/2008",406,6410,3225,206,287,1786,2361,21735,4816,14857,3843,19073
"05/2008",446,7246,3378,184,237,1699,2435,24699,5005,18615,4218,21297
"06/2008",513,7716,3701,227,267,1806,2539,25712,5221,20940,4275,23118
"07/2008",446,8010,3738,227,256,2015,2764,28717,5261,21542,4895,24957
"08/2008",448,8090,3504,208,244,1994,2951,29478,5297,20790,5117,24420
"09/2008",408,7952,3619,178,218,1870,2742,27755,5432,21361,4643,24356
"10/2008",447,7881,3514,178,250,1867,2860,28662,5466,20651,4798,23838
"11/2008",443,8022,3931,181,307,2097,3280,29704,5783,21162,5326,24929
"12/2008",515,8788,4670,204,406,2694,3746,32361,6529,22177,6062,27451
"01/2009",680,10297,5830,286,579,3262,4977,38472,7794,26933,7386,33686
"02/2009",646,10865,6074,318,620,3369,5011,40484,8525,27324,7527,35095
"03/2009",789,10399,6137,348,723,3261,4915,40908,8243,26656,7360,35471
"04/2009",762,10295,5414,344,760,2830,4271,40095,7479,25696,6922,33709
"05/2009",802,10581,5482,333,685,2751,4125,41225,7575,28459,6605,35713
"06/2009",947,11649,5808,374,676,2985,4107,41637,8049,31893,6577,38080
"07/2009",851,11466,5766,342,625,2874,4194,43088,7658,32191,6840,39353
"08/2009",778,11457,5427,312,566,2775,4204,41706,7511,30708,6681,37303
"09/2009",712,11323,5414,301,543,2694,4031,40216,7608,30889,6208,37032
"10/2009",891,11148,5205,336,605,2707,4121,39694,7803,29212,6299,35843
"11/2009",887,10772,5303,334,647,2807,4483,39493,7833,28430,6450,34853
"12/2009",1026,11089,5644,397,784,3243,4823,39797,8424,28287,6960,35703
"01/2010",1194,12424,6699,437,945,3521,6018,43606,9406,31548,8531,40739
"02/2010",1159,12240,6652,418,958,3539,5841,43172,9538,30038,8375,39783
"03/2010",1178,11556,6516,436,973,3343,5623,42179,8969,28855,8125,38774
"04/2010",1051,11156,5733,408,922,2990,4485,40240,8263,27832,7731,35467
"05/2010",1056,10921,5478,399,805,2761,4171,40072,7886,28570,7227,35768
"06/2010",1076,11716,5607,422,741,2931,4071,39464,8067,31099,6955,36534
"07/2010",972,11987,5648,386,687,2904,4307,41691,8201,31718,7501,37342
"08/2010",948,11721,5328,386,647,2841,4306,41339,7996,29771,7470,35740
"09/2010",846,11085,5298,352,598,2722,3994,38683,7742,29333,6854,34646
"10/2010",889,10981,5011,344,627,2676,4187,38358,7665,27675,6895,32365
"11/2010",963,11129,5411,381,738,2824,4677,39657,8017,27608,7466,32960
"12/2010",960,10954,5496,358,760,3029,4898,38351,8003,26438,7470,32977
"01/2011",1063,11896,6337,419,918,3318,6001,40696,8730,28618,8478,36661
"02/2011",1051,11550,6110,407,879,3302,5683,39346,8667,26867,8232,35197
"03/2011",1066,10782,5884,417,873,3083,5211,38291,8012,25286,7783,33864
"04/2011",945,10372,5228,405,836,2785,4260,36369,7398,24491,6842,31267
"05/2011",969,10474,5107,372,731,2637,4063,37061,7347,25656,6657,31651
"06/2011",1000,11447,5304,404,666,2785,3898,37893,7671,28894,6537,33803
"07/2011",889,11507,5205,379,618,2794,4009,40094,7653,29342,6951,33819
"08/2011",911,11373,4900,367,590,2716,4007,38957,7466,27368,6836,32269
"09/2011",864,11102,4912,361,589,2684,3702,37452,7540,27221,6475,31757
"10/2011",896,10777,4594,349,601,2622,3869,36905,7480,25036,6581,29318
"11/2011",941,10510,4589,354,621,2614,4347,36512,7412,23534,6817,28300
"12/2011",951,10966,4840,378,714,2929,4695,36020,7843,23409,6971,28901
"01/2012",1058,11971,5617,429,789,3336,5615,38350,8714,25965,7974,32615
"02/2012",1013,12238,5569,404,754,3474,5283,37971,9082,24695,7832,32297
"03/2012",1002,11465,5310,389,728,3249,4694,36208,8468,23385,7333,31148
"04/2012",864,10979,4622,380,680,2881,3879,33635,7813,22612,6562,28258
"05/2012",882,11484,4725,353,613,2857,3549,35145,8019,24311,6333,29810
"06/2012",999,12328,4936,377,582,3042,3461,36182,8285,27490,6291,32033
"07/2012",902,12579,5055,365,574,3036,3789,38114,8299,28354,6844,32922
"08/2012",864,12114,4663,353,508,2839,3760,36110,8041,26521,6585,30964
"09/2012",775,11100,4657,305,455,2692,3283,33377,7704,25198,5808,29425
"10/2012",813,11036,4452,299,486,2698,3464,32961,7640,24245,6091,28002
"11/2012",870,10310,4458,325,517,2675,3814,32334,7280,22826,6222,27640
"12/2012",843,10947,4855,311,552,2973,3983,32054,7938,23037,6310,29162
"01/2013",983,12192,5783,363,653,3446,5090,35712,8838,26770,7425,33970
"02/2013",889,11491,5428,321,585,3269,4712,33950,8585,24322,6914,32431
"03/2013",842,10327,5241,314,567,3002,4234,32430,7639,23126,6411,31152
"04/2013",771,9713,4671,338,536,2687,3655,30773,6954,22654,5813,28665
"05/2013",713,9907,4746,301,425,2546,3440,32536,6894,25613,5822,29684
"06/2013",822,10559,4950,324,430,2681,3384,33478,7171,28766,5910,32118
"07/2013",734,10521,4865,313,397,2648,3632,34890,7059,28707,6423,32029
"08/2013",696,10092,4514,284,366,2545,3695,33829,6708,26609,6299,29831
"09/2013",693,9455,4539,272,359,2385,3328,31884,6468,25488,5628,29078
"10/2013",705,9146,4324,285,398,2327,3525,31263,6300,23976,5590,27452
"11/2013",716,8353,4366,278,412,2286,3872,30375,5868,22083,6002,26454
"12/2013",703,8136,4404,281,473,2368,3815,29324,5895,21237,5972,26179
"01/2014",821,9113,5107,301,569,2698,4487,32073,6594,23355,6738,29863
"02/2014",802,9163,5203,284,545,2765,4313,31246,6853,22711,6546,29796
"03/2014",773,8349,5021,294,529,2568,3891,30023,6228,21686,6139,29030
"04/2014",638,7110,4355,262,454,2133,3044,25899,5220,19706,4939,24538
"05/2014",720,7475,4324,270,420,1992,2825,27164,5126,22418,4842,25851
"06/2014",816,7796,4339,296,422,2031,2501,26174,5171,24151,4501,26928
"07/2014",780,8224,4414,278,402,2096,2776,28465,5381,25434,5101,28396
"08/2014",745,7928,4023,271,388,2006,2793,27533,5215,23520,4872,26307
"09/2014",692,7223,3879,243,359,1858,2490,24503,4920,22025,4324,24796
"10/2014",683,6984,3556,238,377,1817,2341,22746,4816,20404,4011,22608
"11/2014",752,6849,3680,251,428,1886,2667,23274,4759,19480,4361,22308
"12/2014",595,6685,3787,207,380,2043,2618,21488,4848,18089,4232,21696
"01/2015",752,7989,4486,261,501,2401,3514,24654,5729,21086,5122,25884
"02/2015",683,7737,4287,215,472,2446,3248,23475,5795,19377,4912,24862
"03/2015",667,6900,4022,228,455,2216,2920,22132,5281,18098,4617,23500
"04/2015",547,6791,3543,219,381,1953,2275,19673,4886,17387,3686,21269
"05/2015",614,7056,3466,239,383,1845,2203,21244,4854,19679,3884,22249
"06/2015",696,7456,3471,266,380,1871,2076,20535,4877,20884,3746,22842
"07/2015",626,7496,3490,225,338,1847,2223,21801,4854,20922,3892,23473
"08/2015",606,6824,3137,211,314,1659,2093,21053,4559,18593,3670,20967
"09/2015",551,6429,3051,198,313,1534,1834,18433,4439,18052,3172,20104
"10/2015",610,6256,2948,223,345,1481,1898,18225,4379,16705,3172,18665
"11/2015",638,6072,3063,222,370,1551,2285,19160,4322,15962,3597,18185
"12/2015",635,6131,3220,224,403,1736,2276,18342,4526,15304,3538,18395
"01/2016",759,6902,3819,272,513,2006,2819,20831,5066,17386,4089,21892
"02/2016",676,6987,3732,252,495,2087,2735,20540,5256,16376,4098,21226
"03/2016",721,6614,3621,266,505,1996,2523,19366,4985,16157,3914,20439
"04/2016",684,6347,3094,262,488,1738,2053,17348,4399,14842,3191,17854
"05/2016",645,6000,2859,260,416,1515,1959,17437,4037,15563,3087,17335
"06/2016",791,6773,3017,268,410,1642,1896,17870,4355,17861,3148,19288
"07/2016",659,6962,2956,244,339,1692,2008,19324,4490,17672,3410,19695
"08/2016",625,6841,2635,230,328,1643,1998,19033,4439,16167,3300,17901
"09/2016",589,6658,2655,216,337,1614,1745,16701,4539,15569,2858,17515
"10/2016",637,6389,2423,222,328,1557,1624,15643,4453,14099,2636,15644
"11/2016",615,5965,2444,213,347,1595,1835,15611,4180,13158,2808,14883
"12/2016",707,6184,2797,237,433,1932,1841,15212,4509,13332,2826,15764
"01/2017",682,7194,3657,238,412,2240,2559,19007,5536,16560,3680,20587
"02/2017",608,7364,3664,197,391,2279,2467,18476,5470,15750,3628,20118
"03/2017",656,6403,3381,216,376,2003,2111,16793,4838,14654,3320,18682
"04/2017",554,6291,2927,186,326,1771,1589,14467,4523,13834,2514,16765
"05/2017",579,6337,2841,197,312,1558,1442,14383,4429,15479,2443,17236
"06/2017",661,7139,2941,231,315,1733,1508,15093,4627,17664,2587,18733
"07/2017",610,7338,2892,220,293,1765,1693,17503,4668,18017,2946,19667
"08/2017",575,7295,2756,215,292,1696,1684,17301,4730,16649,2863,18180
"09/2017",566,6788,2717,194,284,1597,1444,14834,4599,15724,2387,16985
"10/2017",597,6539,2426,188,293,1538,1436,14302,4428,13943,2363,15319
"11/2017",602,6432,2514,195,340,1675,1826,15892,4544,13629,2848,15139
"12/2017",577,6206,2808,193,342,1830,1811,14836,4681,13405,2741,15564
"01/2018",712,7116,3618,254,417,2189,2391,18035,5334,16017,3428,19713
"02/2018",632,7261,3583,220,381,2248,2404,18299,5698,15447,3559,19500
"03/2018",698,6471,3333,227,375,1993,1985,16472,4978,14459,3085,18071
"04/2018",644,5827,2826,223,375,1676,1527,13641,4291,12817,2310,15798
"05/2018",646,5273,2629,227,320,1335,1311,13205,3735,13837,2198,15650
"06/2018",825,6288,2804,288,352,1542,1332,13742,4183,17103,2204,18143
"07/2018",745,6137,2641,274,305,1493,1471,15743,4028,16544,2554,18070
"08/2018",675,5897,2361,233,287,1328,1486,15487,3844,14571,2520,16358
"09/2018",631,5271,2324,197,276,1212,1233,12750,3670,13621,2041,15224
"10/2018",632,5255,2154,200,287,1212,1140,11914,3702,12536,1867,13894
"11/2018",638,4966,2265,189,310,1234,1496,13534,3624,11685,2326,13150
"12/2018",651,5357,2677,207,352,1553,1613,13066,4065,11835,2334,14558
"01/2019",721,6230,3362,232,414,1876,2170,16186,4642,15315,3003,19089
"02/2019",588,6178,3153,240,314,1821,1975,15400,4655,13396,2967,17733
"03/2019",646,5722,2889,245,332,1707,1770,14370,4304,12943,2621,16661
"04/2019",570,4990,2300,225,281,1268,1264,11006,3603,11020,1814,13505
"05/2019",626,4927,2213,234,278,1164,1186,11805,3408,12678,1898,14191
"06/2019",758,5519,2391,267,313,1308,1110,11858,3712,14523,1841,15714
"07/2019",754,6100,2349,260,307,1424,1325,14460,3919,14959,2291,16464
"08/2019",613,6083,2239,249,271,1382,1406,14494,3950,13177,2348,14884
"09/2019",600,5394,2033,223,264,1274,1050,11280,3649,12379,1822,13725
"10/2019",624,5572,1859,255,296,1304,1018,10595,3835,11280,1714,12562
"11/2019",642,5344,1950,268,322,1278,1286,12001,3780,10708,2181,12245
"12/2019",650,5540,2223,265,358,1594,1315,11508,4091,10247,2019,12978
"01/2020",792,6259,2953,287,454,1860,1878,14358,4633,13613,2655,17001
"02/2020",785,6327,2761,289,464,1843,1839,14707,4750,12373,2783,16003
"03/2020",1052,6978,2894,384,634,2027,2177,18050,5266,14178,3141,16754
"04/2020",619,21231,10192,212,421,5804,6966,60943,17492,69384,10373,66430
"05/2020",1067,17092,9257,351,703,4055,6208,57788,13114,74963,9119,64815
"06/2020",958,14812,8723,319,593,2968,4928,47694,10705,77723,7176,63025
"07/2020",821,14060,8416,312,473,2864,4469,45924,9355,72208,6737,57607
"08/2020",597,11099,6617,246,439,2036,3786,39188,7110,58552,5711,45691
"09/2020",627,9818,6079,252,352,1720,3135,33986,6112,54766,4806,42633
"10/2020",536,8115,5174,207,303,1446,1983,21633,5080,42509,3007,35917
"11/2020",616,7626,5059,242,344,1438,2391,22701,4829,37794,3605,33921
"12/2020",675,8100,5127,256,371,1733,2971,23856,5134,35687,4306,33251
"01/2021",807,8929,5588,294,469,2028,3474,25696,5940,35629,4702,34027
"02/2021",818,9370,5418,284,465,2086,3099,24727,6350,32767,4577,32359
"03/2021",782,8528,5091,258,454,1886,2612,21712,5779,29731,3823,29938
"04/2021",672,7498,4517,242,402,1530,2235,19690,4997,28269,3279,27001
"05/2021",725,6796,4104,237,383,1362,2362,20840,4444,27943,3600,25879
"06/2021",831,7640,4415,265,398,1599,2645,23013,5003,30896,4148,28508
"07/2021",724,7321,4120,227,345,1524,2253,23779,4675,29000,3779,27499
"08/2021",657,6836,3785,203,308,1364,2204,22628,4331,26028,3612,25190
"09/2021",545,5710,3507,186,268,1127,1648,17977,3645,24412,2796,22798
"10/2021",546,5267,3252,184,278,1065,1361,15710,3366,21635,2344,21058
"11/2021",544,4653,3095,177,281,969,1425,15079,2957,19501,2326,19458
"12/2021",516,4031,3204,162,263,941,1264,12673,2674,18165,2034,19068
"01/2022",644,5204,3889,195,329,1303,1972,16227,3544,20775,2729,22878
"02/2022",651,5476,3366,204,324,1359,1914,15994,3787,16822,2824,19609
"03/2022",610,5154,2988,184,313,1271,1204,10762,3551,15099,1829,17396
"04/2022",522,4269,2524,155,289,954,1074,10026,2773,13838,1581,15191
"05/2022",527,4425,2450,153,273,903,989,10084,2831,14844,1492,15353
"06/2022",651,4866,2508,187,374,1015,1059,10363,3130,16374,1655,16384
"07/2022",543,5343,2365,158,248,1136,1103,11654,3411,16487,1787,16036
"08/2022",555,5372,2412,156,253,1084,1507,14645,3409,16136,2404,16490
"09/2022",592,4497,2144,170,273,915,1214,12460,2901,13528,1950,14199



"Publisher:", "Bureau of Labor Statistics"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."